symbol,kind,underlying,underlyingValue,timestamp,expiryDate,strikePrice,optionType,lastPrice,change,pChange,openInterest,changeInOI,totalTradedVolume,impliedVolatility,bidQty,bidPrice,askPrice,askQty,identifier
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Jun-2026,22000,PE,61.4,-2,-3.1545741324921135,1144,28,137,18.14,300,58.6,61.4,375,OPTIDXNIFTY30-06-2026PE22000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,29-Sep-2026,22000,PE,0,0,0,0,0,0,0,5400,1.05,0,0,OPTIDXNIFTY29-09-2026PE22000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,29-Dec-2026,22000,CE,5845,0,0,33,0,0,0,375,5450.5,0,0,OPTIDXNIFTY29-12-2026CE22000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,29-Dec-2026,22000,PE,129,-3.6999999999999886,-2.7882441597588463,2422.6666666666665,18,66,18.24,75,128,130,75,OPTIDXNIFTY29-12-2026PE22000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,29-Jun-2027,22000,PE,0,0,0,0,0,0,0,5400,2.05,0,0,OPTIDXNIFTY29-06-2027PE22000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,28-Dec-2027,22000,PE,250,0,0,29.333333333333332,0,0,0,450,215,325,225,OPTIDXNIFTY28-12-2027PE22000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,27-Jun-2028,22000,PE,470.05,0,0,4.333333333333333,0,0,0,300,168.05,0,0,OPTIDXNIFTY27-06-2028PE22000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,26-Dec-2028,22000,PE,447,0,0,5,0,0,0,150,265.4,0,0,OPTIDXNIFTY26-12-2028PE22000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,26-Jun-2029,22000,PE,0,0,0,0,0,0,0,5400,2.05,0,0,OPTIDXNIFTY26-06-2029PE22000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,24-Dec-2029,22000,PE,0,0,0,0,0,0,0,5400,2.05,0,0,OPTIDXNIFTY24-12-2029PE22000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,25-Jun-2030,22000,PE,0,0,0,0,0,0,0,5400,3.05,0,0,OPTIDXNIFTY25-06-2030PE22000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Dec-2025,22850,CE,3443.7,-73.65000000000009,-2.093905923493542,11,0,2,0,1725,3013.25,3746.4,1725,OPTIDXNIFTY30-12-2025CE22850.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Dec-2025,22850,PE,5.15,-0.75,-12.711864406779661,1130,-64,271,22,1800,5.2,5.6,750,OPTIDXNIFTY30-12-2025PE22850.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Dec-2025,22900,CE,3393,-66.69999999999982,-1.9279128248113946,83,4,6,0,1725,2963.3,3692.7,1725,OPTIDXNIFTY30-12-2025CE22900.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Dec-2025,22900,PE,5.75,-0.8499999999999996,-12.878787878787874,2353,15,134,22.02,150,5.75,6.45,600,OPTIDXNIFTY30-12-2025PE22900.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Dec-2025,22950,CE,3266.25,-6.400000000000091,-0.19556017294853073,25,0,0,0,1725,2837.05,3743.8,1725,OPTIDXNIFTY30-12-2025CE22950.00
